Pod CPU Report

Namespace,Pod Name,CPU Request,CPU Limit,Avg CPU Usage(Cores),Suggested Request,90%tile CPU Usage,90%tile CPU Usage,Max CPU Usage
spr-apps,standalone-standalone-lst-tagging-tier2-deployment-8669548sgwgj,4.2,inf,0.9108904681198239,1.4229072967879075,1.8773972986241572,1.935093710878348,1.935093710878348
spr-apps,standalone-trends-anomaly-compute-deployment-7d94667c44-9chwc,3.2,inf,0.06463388710645307,0.07714064506551184,0.0891075054721491,0.11791904728987444,0.11791904728987444
kube-system,aws-node-bqlf4,0.05,inf,0.007167450415140544,0.00745322742989643,0.007431469720864741,0.007582306238530689,0.007582306238530689
kube-system,ebs-csi-node-sdr62,0.060000000000000005,inf,0.001019158101764006,0.0010762612551086892,0.0010945513645721815,0.001135640894061765,0.0011664364272670528
kube-system,kube-proxy-f8lhn,0.2,inf,0.0009112000062438974,0.0018955492424403712,0.003543748155029426,0.004253445586362285,0.004253445586362285
lacework,lacework-agent-jtsqj,0.02,inf,0.28346439171974996,0.29919250727708785,0.303439547734236,0.3062845741592042,0.3062845741592042
monitoring,filebeat-6j28f,0.24,inf,0.125242067914776,0.13396708978185456,0.13726646820167032,0.1579497477719387,0.1579497477719387
spr-apps,lst-story-msg-category-matcher-deployment-7bf7f84788-gvkkc,2.2,inf,0.4940575166928171,0.5867965296351886,0.6629096347823435,0.6939282051954011,0.6947258861160527
spr-apps,standalone-enriched-firehose-matcher-data-rule-deployment-kksx4,6.2,inf,1.9776246502886647,2.1104770636356576,2.194462534493956,2.1992522183014986,2.1992522183014986
spr-apps,standalone-enriched-matcher-global-ded1-deployment-7f68975w9f8m,3.2,inf,0.8905458899879455,1.0009148445203389,1.1053923132096375,1.1563183331501796,1.1583085955489736
spr-apps,standalone-enriched-matcher-global-samsung-deployment-6ccb5wkn2,4.2,inf,1.404676552389452,1.555263386631376,1.631032140726143,1.7817979369087464,1.7817979369087464
spr-apps,standalone-enriched-matcher-global-samsung-deployment-6ccbwgs4d,4.2,inf,1.4857138439024635,1.5894759479860372,1.6363800356813942,1.6752116052833779,1.6762754770231378
spr-apps,standalone-enriched-matcher-global-tier2-v2-deployment-7bb6tn6t,3.2,inf,0.9744293004696837,1.1273005954473916,1.2703845451180644,1.3010077171480985,1.301692542257609
spr-apps,standalone-hulk-backfill-pipeline-deployment-78ff859f9c-8rl8r,15.2,inf,0.3437058671788868,0.4121569150276244,0.47419639294853577,0.5855676793909657,0.5855676793909657
spr-apps,standalone-hulk-engagement-stats-consumer-deployment-68748zv8mt,3.2,inf,0.10645453446848928,0.13751651533291148,0.14189606618883432,0.14784817537685002,0.15182077116832482
