Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
linkerd,linkerd-identity-8f6cb84fd-vq6d7,1048576000,inf,65627320.655737706,66427403.89595951,67796992.0,67796992.0,67796992
linkerd,linkerd-proxy-injector-6d8fdb549b-52hj4,4819255296,inf,746900362.4918033,751189506.0020268,754720768.0,757309440.0,757309440
kube-system,aws-node-mx6xk,0,inf,552398848.0,552833538.914792,553414656.0,553414656.0,553414656
kube-system,ebs-csi-node-snkdb,1610612736,inf,105843661.63934426,106140002.7353512,106475520.0,106475520.0,106475520
kube-system,kube-proxy-cxcdn,0,inf,122616043.01639344,123247657.87057918,123736064.0,124022784.0,124022784
lacework,lacework-agent-pkfp8,3040870400,inf,1543512735.4754097,1566135973.4490013,1563963392.0,1563963392.0,1563963392
monitoring,filebeat-98bjw,3600000000,inf,566281669.2459016,592127396.8330928,628310016.0,628310016.0,628310016
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-jfvtk,0,inf,340046361.1803279,353116248.1759546,374980608.0,374980608.0,374980608
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-zcm2s,0,inf,338982676.9836066,349547337.06252396,368922624.0,368922624.0,368922624
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-r84q5,0,inf,393685697.0491803,395100060.68100196,396255232.0,396255232.0,396255232
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-s5c5b,0,inf,391835312.26229507,393927467.68266016,396009472.0,396009472.0,396009472
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-hkbxh,0,inf,422367433.44262296,431794814.55646473,441942016.0,441942016.0,441942016
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-plqnz,0,inf,417548455.86885244,426101611.30765045,444682240.0,444682240.0,444682240
